#Data contains: GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#,height[m]
205341300,2021:03:16:09:02:03,3,11.3832021,47.3122406,2320595,0,6.0,2320.595
205341400,2021:03:16:09:02:03,3,11.3832022,47.3122407,2320594,0,6.0,2320.594
205341500,2021:03:16:09:02:03,3,11.3832022,47.3122408,2320609,0,6.0,2320.609
205341600,2021:03:16:09:02:03,3,11.3832022,47.3122408,2320607,1,6.0,2320.607
205341700,2021:03:16:09:02:03,3,11.383202,47.3122409,2320603,1,6.0,2320.603
205341800,2021:03:16:09:02:03,3,11.383202,47.3122409,2320598,1,6.0,2320.598
205341900,2021:03:16:09:02:03,3,11.383202,47.3122409,2320610,1,6.0,2320.61
205342000,2021:03:16:09:02:04,3,11.3832021,47.312241,2320623,1,6.0,2320.623
205342100,2021:03:16:09:02:04,3,11.383202,47.312241,2320617,1,6.0,2320.617
205342200,2021:03:16:09:02:04,3,11.383202,47.3122411,2320650,1,6.0,2320.65
205342300,2021:03:16:09:02:04,3,11.3832021,47.3122412,2320664,1,6.0,2320.664
205342400,2021:03:16:09:02:04,3,11.3832019,47.3122412,2320658,1,6.0,2320.658
205342500,2021:03:16:09:02:04,3,11.3832019,47.3122412,2320648,1,6.0,2320.648
205342600,2021:03:16:09:02:04,3,11.383202,47.3122414,2320672,0,6.0,2320.672
205342700,2021:03:16:09:02:04,3,11.383202,47.3122414,2320682,0,6.0,2320.682
205342800,2021:03:16:09:02:04,3,11.3832019,47.3122414,2320671,0,6.0,2320.671
205342900,2021:03:16:09:02:04,3,11.3832019,47.3122414,2320702,0,6.0,2320.702
205343000,2021:03:16:09:02:05,3,11.383202,47.3122415,2320711,0,6.0,2320.711
205343100,2021:03:16:09:02:05,3,11.3832021,47.3122416,2320709,0,6.0,2320.709
205343200,2021:03:16:09:02:05,3,11.383202,47.3122416,2320699,0,6.0,2320.699
